,ID,foreign,name,Adopsi TIK,Infrastruktur,Kapabilitas Inovasi,Keterampilan,Pasar Tenaga Kerja,Stabilitas Ekonomi,IRBI
70,ID1373,13,KOTA SAWAH LUNTO,4.7,2.97,0.75,4.26,3.79,2.73,107.47
71,ID1374,13,KOTA PADANG PANJANG,5,2.96,3.12,4.55,4.24,3.08,113.2
72,ID1375,13,KOTA BUKITTINGGI,5,2.83,2.94,4.52,3.93,3.41,128.61
73,ID1376,13,KOTA PAYAKUMBUH,4.86,2.3,1.95,4.36,3.88,3.06,104.8
74,ID1377,13,KOTA PARIAMAN,4.77,3.21,2.64,4.33,3.69,2.9,146.81
75,ID1401,14,KABUPATEN KUANTAN SINGINGI,3.95,2.56,1.44,3.47,2.83,3.32,131.2
76,ID1402,14,KABUPATEN INDRAGIRI HULU,3.86,1.82,1.43,3.2,2.9,3.24,122.06
77,ID1403,14,KABUPATEN INDRAGIRI HILIR,3.97,1.72,1.46,2.9,2.99,3.26,168.4
78,ID1404,14,KABUPATEN PELALAWAN,4.04,2.56,0.89,3.42,3.02,3.29,151.41
79,ID1405,14,KABUPATEN S I A K,4.23,2.55,0.27,3.75,3.58,2.93,120.9
80,ID1406,14,KABUPATEN KAMPAR,4.09,2.69,2.16,3.55,3.5,3.15,136.81
81,ID1407,14,KABUPATEN ROKAN HULU,4.2,2.38,1.55,3.23,3.31,2.93,155.2
82,ID1408,14,KABUPATEN BENGKALIS,4.03,2.28,1.85,3.75,3.41,2.88,134.65
83,ID1409,14,KABUPATEN ROKAN HILIR,4.5,2.04,1.31,3.19,3.02,2.88,153.75
84,ID1410,14,KABUPATEN KEPULAUAN MERANTI,3.91,1.94,1.27,3.1,3.08,2.79,146.91
85,ID1471,14,KOTA PEKANBARU,4.9,1.91,4,4.3,3.88,3.99,125.07
86,ID1473,14,KOTA D U M A I,4.14,1.89,2.12,3.93,3.65,3.19,106.6
87,ID1501,15,KABUPATEN KERINCI,3.35,1.92,1.94,3.43,4.3,3.37,140.58
88,ID1502,15,KABUPATEN MERANGIN,3.63,1.93,2.18,3.01,3.26,3.09,166
89,ID1503,15,KABUPATEN SAROLANGUN,3.82,2.57,0.35,3.15,3.69,3.37,136.79
90,ID1504,15,KABUPATEN BATANG HARI,3.75,2.01,1.33,3.27,3.36,3.48,120.4
91,ID1505,15,KABUPATEN MUARO JAMBI,4.08,2.07,3.27,3.41,3.21,3.07,134.32
92,ID1506,15,KABUPATEN TANJUNG JABUNG TIMUR,4.12,2.55,1.09,3.06,2.61,3.54,156.4
93,ID1507,15,KABUPATEN TANJUNG JABUNG BARAT,4.12,2.02,0.48,3.23,2.97,2.99,137.85
94,ID1508,15,KABUPATEN TEBO,3.76,1.62,0.65,3.05,3.23,3.66,131.2
95,ID1509,15,KABUPATEN BUNGO,3.78,2.02,1.76,3.09,3.67,3.14,132.06
96,ID1571,15,KOTA JAMBI,4.94,2.68,3.42,4.29,3.9,2.85,123.24
97,ID1572,15,KOTA SUNGAI PENUH,3.43,2.39,1.95,4.11,4.83,3.24,113.76
98,ID1601,16,KABUPATEN OGAN KOMERING ULU,4.44,2.06,1.77,3.43,2.91,3.55,136.76
99,ID1602,16,KABUPATEN OGAN KOMERING ILIR,3.74,2.24,1.03,2.74,2.55,3.35,141.07
100,ID1603,16,KABUPATEN MUARA ENIM,4.29,2.38,1.93,3.14,2.44,3.45,144.08
101,ID1604,16,KABUPATEN LAHAT,4.2,2.43,1.3,3.43,2.98,3.62,120.98
102,ID1605,16,KABUPATEN MUSI RAWAS,3.94,2.58,0.93,2.85,2.67,3.44,145.52
103,ID1606,16,KABUPATEN MUSI BANYUASIN,4.09,2.4,1.4,2.86,2.45,3.4,111.99
104,ID1607,16,KABUPATEN BANYU ASIN,3.75,1.9,1.1,2.93,2.76,3.58,123.96
105,ID1608,16,KABUPATEN OGAN KOMERING ULU SELATAN,3.54,1.93,1.53,2.9,2.66,3.57,115.97
106,ID1609,16,KABUPATEN OGAN KOMERING ULU TIMUR,4.39,1.88,1.77,2.99,2.85,3.24,122.02
107,ID1610,16,KABUPATEN OGAN ILIR,4.43,2.16,3.64,3.22,2.39,3.37,105.47
108,ID1611,16,KABUPATEN EMPAT LAWANG,3.66,2.69,0.64,2.85,2.64,3.45,151.98
109,ID1612,16,KABUPATEN PENUKAL ABAB LEMATANG ILIR,4.2,2.25,0.88,2.91,2.43,3.41,148.92
110,ID1613,16,KABUPATEN MUSI RAWAS UTARA,3.35,1.83,0.65,2.81,2.69,3.16,148.8
111,ID1671,16,KOTA PALEMBANG,4.86,2.8,3.96,3.94,3.58,3.25,131.6
112,ID1672,16,KOTA PRABUMULIH,4.86,2.77,1.78,3.78,3.02,2.99,132.4
113,ID1673,16,KOTA PAGAR ALAM,3.93,2.17,1.92,3.58,3.59,3.09,125.17
114,ID1674,16,KOTA LUBUKLINGGAU,4.61,2.38,1.91,3.69,3.39,2.67,124.44
115,ID1701,17,KABUPATEN BENGKULU SELATAN,4.18,2.38,1.08,3.99,3.97,3.22,165.18
116,ID1702,17,KABUPATEN REJANG LEBONG,3.99,2.39,1.49,3.44,4.48,3.32,97.92
117,ID1703,17,KABUPATEN BENGKULU UTARA,3.77,2.51,1.24,3.33,3.6,3.29,189.19
118,ID1704,17,KABUPATEN KAUR,3.29,2.02,0.92,3.36,4.1,3.84,192.16
119,ID1705,17,KABUPATEN SELUMA,3.78,1.93,0.84,3.15,3.56,3.62,163.04
120,ID1706,17,KABUPATEN MUKOMUKO,3.53,1.73,0.17,3.22,3.22,3.68,164.32
121,ID1707,17,KABUPATEN LEBONG,3.1,2.05,2.01,3.36,3.66,3.71,106.49
122,ID1708,17,KABUPATEN KEPAHIANG,4.05,2.49,0.64,3.41,4.07,3.41,101.31
123,ID1709,17,KABUPATEN BENGKULU TENGAH,4.12,2.09,0.5,3.44,4.11,3.68,163.99
124,ID1771,17,KOTA BENGKULU,5,2.98,3.52,4.35,4.67,2.81,143.88
125,ID1801,18,KABUPATEN LAMPUNG BARAT,4.41,1.98,0.88,3.25,2.72,3.37,176.61
126,ID1802,18,KABUPATEN TANGGAMUS,3.81,2.33,0.99,3.08,3.04,2.72,132.54
127,ID1803,18,KABUPATEN LAMPUNG SELATAN,4.69,2.06,2.67,2.97,3.38,3.23,167.23
128,ID1804,18,KABUPATEN LAMPUNG TIMUR,4.37,2.45,1.51,3.14,2.76,3.56,183.2
129,ID1805,18,KABUPATEN LAMPUNG TENGAH,4.31,2.32,1.54,3.04,3.09,3.38,113.24
130,ID1806,18,KABUPATEN LAMPUNG UTARA,4.19,2.79,1.84,3.14,3.13,2.74,131.2
131,ID1807,18,KABUPATEN WAY KANAN,4.49,2.5,0.72,3.03,3.01,3.31,108
132,ID1808,18,KABUPATEN TULANGBAWANG,4.54,2.14,1.3,3.03,2.99,3.52,122.66
133,ID1809,18,KABUPATEN PESAWARAN,4.31,2.55,1.48,3.15,2.93,3.24,162.28
134,ID1810,18,KABUPATEN PRINGSEWU,4.45,2.81,2.23,3.4,3.1,3.13,95.2
135,ID1811,18,KABUPATEN MESUJI,4.62,1.87,0.74,2.59,2.31,3.65,116.7
136,ID1812,18,KABUPATEN TULANG BAWANG BARAT,4.48,2.64,0.61,2.92,3.23,3.25,120.28
137,ID1813,18,KABUPATEN PESISIR BARAT,3.49,1.76,0.76,3.07,2.77,3.3,189.7
138,ID1871,18,KOTA BANDAR LAMPUNG,4.88,3.01,3.59,4.04,3.67,2.92,119.79
139,ID1872,18,KOTA METRO,4.9,3.74,3.69,4.38,3.73,2.94,96.29
140,ID1901,19,KABUPATEN BANGKA,4.59,2.2,2.07,3.53,3.94,3.14,160.48
141,ID1902,19,KABUPATEN BELITUNG,4.6,2.38,0.97,3.4,3.51,2.96,158.53
142,ID1903,19,KABUPATEN BANGKA BARAT,4.11,2.72,0.59,3.44,4.22,3.09,163.61
143,ID1904,19,KABUPATEN BANGKA TENGAH,4.59,2.75,1.72,3.18,4.17,2.88,144.4
144,ID1905,19,KABUPATEN BANGKA SELATAN,4.46,2.11,0.44,3.1,4.12,3.26,179.37
145,ID1906,19,KABUPATEN BELITUNG TIMUR,4.56,2.36,1.04,3.24,3.58,3.11,168.4
146,ID1971,19,KOTA PANGKAL PINANG,4.96,2.84,3.23,4.05,4.6,3.25,114.48
147,ID2101,21,KABUPATEN KARIMUN,4.61,2.78,2,3.52,4.21,3.2,120.4
148,ID2102,21,KABUPATEN BINTAN,4.6,2.95,2.22,3.8,4.04,3.08,122.22
149,ID2103,21,KABUPATEN NATUNA,4.37,2.17,0.57,3.68,3.22,2.93,112.4
150,ID2104,21,KABUPATEN LINGGA,4.18,1.95,1.08,3.33,3.76,3.17,97.72
151,ID2105,21,KABUPATEN KEPULAUAN ANAMBAS,4.52,1.71,1.1,3.27,3.15,2.93,89.41
152,ID2171,21,KOTA B A T A M,4.92,3.25,3.62,3.99,3.84,3.4,103.96
153,ID2172,21,KOTA TANJUNG PINANG,4.95,2.94,3.01,3.86,4.54,3.24,108.4
154,ID3101,31,KABUPATEN KEPULAUAN SERIBU,4.77,2.87,3.51,4.75,4.04,3.77,47.47
155,ID3171,31,KOTA JAKARTA SELATAN,4.92,3.92,3.51,4.75,4.04,3.77,51.05
156,ID3172,31,KOTA JAKARTA TIMUR,4.90,4.01,3.51,4.75,4.04,3.77,73.46
157,ID3173,31,KOTA JAKARTA PUSAT,4.87,4.19,3.51,4.75,4.04,3.77,55.67
158,ID3174,31,KOTA JAKARTA BARAT,4.92,4.10,3.51,4.75,4.04,3.77,69.53
159,ID3175,31,KOTA JAKARTA UTARA,4.89,4.02,3.51,4.75,4.04,3.77,70.69
160,ID3201,32,KABUPATEN BOGOR,4.51,3.39,4.34,3.13,3.06,2.79,107.93
161,ID3202,32,KABUPATEN SUKABUMI,4.09,2.31,2.25,2.74,2.94,3.12,178.12
162,ID3203,32,KABUPATEN CIANJUR,4.4,3.04,2.31,2.63,2.98,3.07,185.14
163,ID3204,32,KABUPATEN BANDUNG,4.55,2.97,3.75,3.37,3.39,3.19,132
164,ID3205,32,KABUPATEN GARUT,4.03,2.96,2.75,2.79,3.15,2.84,147.39
165,ID3206,32,KABUPATEN TASIKMALAYA,4.18,2.11,1.81,2.88,2.59,2.98,159.14
166,ID3207,32,KABUPATEN CIAMIS,4.34,2.32,2.29,3.09,2.74,3.13,117.12
167,ID3208,32,KABUPATEN KUNINGAN,4.45,1.82,2.35,3.21,3.22,2.76,125.8
168,ID3209,32,KABUPATEN CIREBON,4.47,2.16,3.03,3.1,3.17,2.89,144.56
169,ID3210,32,KABUPATEN MAJALENGKA,4.36,2.19,2.03,3.1,2.98,3.72,120.84
170,ID3211,32,KABUPATEN SUMEDANG,4.58,2.37,3.79,3.24,2.72,2.77,135.05
171,ID3212,32,KABUPATEN INDRAMAYU,4.45,2.89,2.36,2.78,3.09,2.63,111.6
172,ID3213,32,KABUPATEN SUBANG,4.22,3.5,2.24,2.9,2.95,2.76,143.43
173,ID3214,32,KABUPATEN PURWAKARTA,4.44,2.99,2.39,3.21,2.7,2.81,117.89
174,ID3215,32,KABUPATEN KARAWANG,4.36,3.48,2.99,3.09,2.82,3.01,152.32
175,ID3216,32,KABUPATEN BEKASI,4.77,3.46,3.35,3.75,2.92,2.89,116.85
176,ID3217,32,KABUPATEN BANDUNG BARAT,4.43,2.91,2.29,2.97,3.17,2.71,108.64
177,ID3218,32,KABUPATEN PANGANDARAN,4.4,2.62,1.78,3.03,2.83,3.66,147.85
178,ID3271,32,KOTA BOGOR,4.85,4.05,4.12,3.77,3.46,2.77,107.93
179,ID3272,32,KOTA SUKABUMI,4.76,2.45,2.77,3.84,3.54,2.48,178.12
180,ID3273,32,KOTA BANDUNG,4.93,3.94,4.73,4.31,3.12,2.79,132
181,ID3274,32,KOTA CIREBON,4.76,2.56,3.14,4,3.51,2.85,144.56
182,ID3275,32,KOTA BEKASI,4.95,3.57,3.48,4.18,3.45,3.05,116.85
183,ID3276,32,KOTA DEPOK,5,3.59,3.7,4.14,3.41,3.31,80.44
184,ID3277,32,KOTA CIMAHI,4.96,2.5,3.72,4.18,3.6,2.66,72.63
185,ID3278,32,KOTA TASIKMALAYA,4.61,2.78,3.02,3.71,3.26,2.8,159.14
186,ID3279,32,KOTA BANJAR,4.37,2.17,1.69,3.44,3.57,2.73,129.6
187,ID3301,33,KABUPATEN CILACAP,4.32,2.71,2.13,3.16,2.89,2.76,96.93
188,ID3302,33,KABUPATEN BANYUMAS,4.43,2.55,3.64,3.28,3.25,3.16,122.82
189,ID3303,33,KABUPATEN PURBALINGGA,4.33,1.82,1.7,3.14,2.65,2.98,130.82
190,ID3304,33,KABUPATEN BANJARNEGARA,4.25,1.79,1.35,3.01,2.74,3.01,121.4
191,ID3305,33,KABUPATEN KEBUMEN,4.72,3.17,2.3,3.34,2.71,3.02,110.78
192,ID3306,33,KABUPATEN PURWOREJO,4.66,3.02,2.23,3.28,2.6,3.39,127.62
193,ID3307,33,KABUPATEN WONOSOBO,4.3,2.39,2.76,2.97,2.78,3.04,76.24
194,ID3308,33,KABUPATEN MAGELANG,4.28,2.54,2.02,3.36,2.56,3.24,102.08
195,ID3309,33,KABUPATEN BOYOLALI,4.45,2.78,2.2,3.69,3.11,3.26,110.06
